BG Strategy →,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,69.0002263316946,108.28547247899574,41.29782516824088,73.53251659913178,138.27519994541228,94.30669520028668,163.34820327350025,85.83417568966512,272.6990298812207,348.842902105407
S1,1067.0744372648712,970.780136544653,926.8213027819884,976.199153932661,986.0331438057783,1049.1688971944382,1087.4792691909965,980.3914182489642,969.9401018987552,833.413002390117
S2,629.9268657712065,644.8157748215625,629.2061639536522,592.5867517441038,651.0035356353768,641.7214134854916,482.82034681228816,378.2666727104513,490.22032569976824,463.01017046526135
S3,304.3289361399872,259.19837225608177,394.8499543454155,448.4494095201933,453.7809872139,412.1024936509568,315.7410600157764,301.0779802383184,394.1067136022778,441.0060662247745
S4,163.84426132320658,301.85227979382285,50.23761304680348,162.40498351912603,211.93652732570123,207.6233625971036,239.24899666382808,166.87661611778475,358.8500511848328,494.05010674331714
S5,350.03345805561105,349.24570972267634,354.7848019382737,414.6540358048105,407.30667702659537,430.57135961798156,513.3734928627858,412.33496428651017,539.2430384564452,518.1096465757513
S6,-71.0897609131324,-95.55730136718269,-189.0475423903323,-156.55871364936078,-147.4410261243705,108.97160484328883,168.42944785642513,110.82248158896604,129.31067707666534,160.344136025027
S7,877.2574444871433,841.3384354498222,819.6353637580357,832.9849397669727,817.1550901788376,800.8728599421282,912.7343279461799,730.2426185476565,827.2526580222965,725.5414703172822
S8,189.63324904725835,312.9537374200714,198.7507024295685,141.97402719926734,156.6995898229141,239.50161063021358,319.871924679423,243.24669104353362,326.52768899193916,368.88590166802976
S9,-110.35592437906593,-52.143482387297965,-121.69223528562772,-166.79726093585225,-91.14276993778819,-91.41451267883583,-61.295947009456754,-90.59243580972857,-48.8186556132471,35.049865113049165
