BG Strategy →,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,416.7736923863467,340.6124588555567,245.2610546324072,344.3710011543598,358.1327202372594,400.1843720922456,373.48228444892925,303.8478742948923,328.6284898943365,294.5920225481838
S1,1328.3444756447657,1358.327045346282,1293.049122515883,1356.6923952895654,1334.9294154219688,1305.6802921616033,1411.7235073904246,1271.2281460872086,1446.0458191114794,1197.4726782438365
S2,620.2496275379551,554.1674088787071,570.8044639175829,724.7855682570448,660.9037542778125,727.8241961169156,606.3634562274109,310.65045989727577,598.2016256454152,552.539219870052
S3,475.6550527131038,486.31057978069725,452.636689579787,518.6162534954566,540.3794119621161,463.3537026185913,557.8752578437671,453.66563459786573,572.7656466667036,630.3533690006178
S4,-252.92255863988734,-212.59616304302384,-331.54642622503695,-263.34956640071624,-245.35138778573932,-44.331396430880766,134.73619073460108,-14.422832637697837,184.9115451687022,292.53569228070984
S5,371.14182615564914,464.3694662740797,297.9920591730011,391.91899763356577,408.7239163470173,513.6894654416345,470.310952221485,374.8448841647528,548.4594501144242,545.3520919662907
S6,-160.49585952359496,-116.82902750201293,-322.8971895338702,-262.7187294324925,-181.20263085590122,11.686486683359195,60.76142259183242,-58.94530244496273,31.171517717582173,212.19531336851006
S7,845.6004012101065,860.7800271901702,867.431169109479,799.646028067247,822.3189100971155,894.5998128597076,871.8793185701994,568.1546192534108,859.3499407619443,849.8426193975102
S8,654.5522211741466,741.1707831565046,546.2487525300417,646.3140208721129,622.8484425032927,618.4302182069696,560.4033671563742,458.37408096241114,613.6242047374603,692.6420425924987
S9,-188.00140355551483,-157.34515636357517,-156.71073977961612,-65.05234480781455,-26.34936663201789,1.5937422586094763,39.89925800123633,-29.08161162665338,75.96320907183294,205.53979477537243
