BG Strategy →,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,565.0253460241388,536.015512572837,574.813420363238,576.2883688107439,578.4749259806025,535.7656856177662,517.1652885557671,495.59853805183945,485.3314327099552,369.4222575952662
S1,565.0105851895253,559.6713388336487,593.8486639970828,570.779728797317,566.8180282701221,550.3981175464747,526.9876787793577,507.9862973687409,491.9805914750615,360.5957101024206
S2,557.3470305763011,533.1299622756706,581.2788985763054,575.1184209963004,567.3956777001453,536.7758501674805,506.6123675382616,480.13990190336386,478.86833097394964,348.961000576761
S3,731.8521231517365,712.7458393914784,775.9440066172453,762.8538482886385,751.1573059759882,707.4761355620691,667.1015423694722,644.2628616156378,662.1289418087747,542.877522506991
S4,612.3981345501307,598.1604897946487,654.2490831732854,639.8170290898798,624.2260713990487,583.5503584564583,547.4893715402239,532.2609696233462,508.0240442530092,365.74242090559534
S5,656.6194491026245,643.228854212048,679.7421918698923,660.1257809791406,654.6664833244654,631.3307415253615,594.6881141050668,585.6490610276281,578.0450469724127,387.421115988231
S6,622.3491211298614,605.1990082540362,633.3183057028511,631.4356761815696,629.3874244995308,597.5163651002755,559.9524499689232,542.3174164120161,526.6224105188375,372.5500189651072
S7,607.320054543349,594.8980247536957,617.9579176908219,617.9999150145459,601.0775802504199,573.4891375578292,546.9619300023129,478.3927474272238,508.6451400383793,390.55687375139877
S8,578.8139680821239,565.5654622923125,617.4634727023667,605.113181360363,589.5002924380854,554.0337209237983,543.5839054642109,526.2102404337412,512.6622381110031,383.12754944747974
S9,554.1064883470167,520.5002765409461,610.7721075104905,583.1867751307914,554.3772327647079,517.2661548689487,469.6786112000256,461.92150696107586,450.41263925602146,305.7060212731623
