BG Strategy →,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,320.2937401852519,311.4790558175293,325.3919429458369,321.9973833847428,320.7825721412253,309.18860380024375,294.7704344365632,283.63895307362105,270.0607102126875,200.01210207800574
S1,323.507954592174,309.2127221544421,333.81761199317924,329.2634378746519,322.68242932372726,306.8536977025521,287.31579895925734,276.56534882908113,270.4136192209203,192.25391153987516
S2,297.1434929896221,289.66325447878256,310.4677611119441,305.33636624313567,297.7109344206136,282.69151124798,267.08257822163057,251.35002557160016,248.39826767141287,178.86870973481464
S3,317.3448163499223,309.83461483536416,329.4893888333545,327.00714578162115,323.0589648735861,307.52104262865095,290.4835461937479,279.4537024429095,274.0631246084785,201.5407885769228
S4,322.7999294215565,315.79496507166846,335.47620143691745,331.7368920855161,328.3961259780335,309.6340385660169,289.3280351481812,280.1450121077118,274.0856058957738,201.30182315948522
S5,323.201744312003,312.8983056903906,334.81392363252803,329.9746999613005,327.6384346831344,312.62695600846484,292.28974775085186,284.74007334955127,269.0754972210515,184.28609834876175
S6,325.6903573190549,310.58550832595614,334.09956015541485,329.7526760621285,323.47539529796313,313.30760965195213,285.59763413739694,278.52256842205264,263.94841776822454,179.06658007742647
S7,329.102868507271,319.4163483149114,344.33678933501074,337.5627297383749,334.4304938581027,318.1517165357184,300.4244594469763,279.3627110402292,280.33095055197185,211.22184080601707
S8,292.75626641898685,282.98528141417466,307.89013379241993,302.72767472240986,297.2316573826648,281.11781523025485,267.0695585820387,258.11550081862987,248.59353484634,171.4721092266514
S9,319.40752960278286,311.3071606009108,333.4594229704033,328.06056137265847,320.97765346905675,304.69190772527116,287.2712803367054,288.89132810588137,265.9932743510384,172.8555659690933
