BG Strategy →,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,309.5736272355317,301.5977069039518,325.95564293129917,323.03500236086137,314.6254533087816,300.55978340961525,281.8660550131694,271.70367143609815,266.2108795098456,201.71050168979693
S1,299.4761021239442,290.66474833660465,314.58878052444766,310.41102020987705,304.7809866745747,291.3046469856887,277.46042339841426,264.681472860679,259.6367902560251,187.17547707460733
S2,291.80102272806135,281.05768111017966,306.58550528409415,304.02121681931936,299.0222891402439,279.64325082631893,264.04647869946257,242.84935408211268,246.0189792612657,181.40305831399468
S3,327.4615625025487,316.7477795368212,346.91067656335116,338.347404915827,332.4699648715713,316.26795019506613,299.90958997426327,287.90654127858807,285.4367151491365,218.04450723369797
S4,327.2810492774924,318.3545032789934,338.82636606758933,335.2709093103742,328.87729762595774,312.0171586046757,293.44248084981996,280.47126320477827,273.1531444316117,204.92876090118264
S5,304.0477531369311,296.8085210271917,316.23331259627423,309.3856423769493,305.7920361761915,290.31268348144584,275.80284682604065,267.0820341273838,259.81358458787105,186.6053875343832
S6,310.0763631816415,298.6779848855524,328.0753708888679,323.43550391668856,318.2537222821644,295.64750495033593,276.7844719220943,268.63043695152584,257.7301750670257,179.5343520332309
S7,313.73252650098124,304.6728041224052,323.602311681539,318.25318299920167,311.94149702046377,299.69014171613213,287.79609221649025,258.49353339069177,272.55244823749587,214.04633330939106
S8,303.09526630759865,295.2767273123728,317.3868192026724,311.8396000780462,305.26542713237967,290.1991340817605,273.3172680249233,266.4859871938961,260.6971470512697,185.25965909838698
S9,287.80310530605686,274.8741593399063,307.02792673666926,298.8305658278031,291.38941087727784,271.8213559463121,252.64881471999564,247.21108709255253,236.90990996453488,158.54728714567
