BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,566.7413447697526,540.9496450867623,576.4321188581137,576.321855147134,573.6164229087258,538.5731664382106,518.4712953726611,497.57746499931983,492.8172661159892,368.51767662035616
S1,681.5800127106701,654.0912672394129,700.9424494784978,698.5939706397631,696.797564294722,661.2360599303823,637.1815313833857,608.565348480678,596.7722510543978,422.38786915307367
S2,659.0294939472653,634.0456150899959,673.8062584623739,662.6484803889812,656.1552789121897,624.2993072744821,594.2965322291973,572.5505061611359,550.2595701317755,420.3924056869321
S3,564.7771321252327,553.6101071394164,601.437012928356,585.3808299965677,569.9479986525091,552.5435558643873,509.5357379306248,488.4392874719918,485.8302900751286,359.98920733717284
S4,636.4389947936,623.3684419931927,656.5187906854544,646.9824480089588,643.0207565987918,620.1049428810642,575.1222315042052,557.7300865585461,544.6105084185257,419.21853197715586
S5,575.7209621453624,569.028823795804,598.4391455941009,581.088006944627,575.8223797700501,535.5740352082709,511.69933300888556,496.8732610276674,494.1353140449126,342.5664124185657
S6,708.6508890887802,678.0850189935371,698.0541706144132,690.3878045498541,699.3822466311592,666.6262033510196,633.2348093278564,599.7839293835225,593.9824262216175,393.35437216436054
S7,652.8535632053291,634.7915013569869,655.3072118380352,648.5102598962665,642.366103817043,620.1973800116463,594.7000757748235,550.671728233101,568.5274003855625,414.3276922007717
S8,664.7017947165943,645.0460520723684,689.7807938327109,679.5787518653389,672.2768860965818,646.6718352727015,612.9216359584653,600.0147054575355,593.5468670660936,410.05957901601425
S9,528.7361443280702,501.9496611262103,543.441062301689,535.113139690865,509.7980082555453,489.4092115117286,467.16170244507225,451.62558847271555,430.00140681577415,277.60593682175
