BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,595.6977495720379,582.9763135038805,606.3971585889849,600.3765977838932,590.6137842809849,583.4359368696813,558.5828804018608,541.3095529345484,520.6463306883063,407.5728682214989
S1,674.0349505651195,664.9575058773986,696.1120123583405,692.1716916560126,678.7177448094183,643.9623225978457,617.4774590453527,608.8629833318126,568.3778140392556,436.6263854709189
S2,653.4264770645286,641.5917451032097,665.6023259512847,656.2247199607908,655.3100107253265,640.6222438102037,582.9660725948444,553.6537261683022,547.472584188348,393.8924226408665
S3,591.2978742194305,576.1523564034956,633.9098598220321,616.5696874840974,607.9840560977074,571.5674803737428,532.8170218762797,514.8262394797548,499.8446675202445,366.8098818795682
S4,707.0683683958334,687.2356094565432,702.891943145789,707.3021011869107,698.1957149062188,672.0789500468428,614.7326704772311,586.0713075372003,576.335408709494,419.44650390187314
S5,583.172005606585,578.4426437036053,613.5706402342541,600.8878564289411,588.0858035720114,578.9387614522375,550.2100257641116,514.7470996962231,504.2218476903629,338.2742347357422
S6,662.9198895803031,637.3589041063741,685.5115369340333,668.291769701465,654.4401412260445,625.0999834475722,570.4855704009806,557.7526683479039,531.118997740298,363.65967009172317
S7,666.5481401438859,654.8922745009005,678.4984091990212,666.6128340895626,650.6318344450759,645.2597849478385,603.4321618828762,553.1789017209592,567.4757270646202,416.225993997953
S8,671.5864274970605,651.5181097199799,687.7220893467788,671.000997164641,664.7250573976357,652.8629066295722,615.6541390838187,608.5678866202618,582.0856518823424,441.4704656466224
S9,561.0297423825748,531.9535269730778,594.8067950120727,580.1330504723,577.4766616073191,543.366491149843,507.23627043915286,499.3934636755354,462.9757707609433,314.1593603812954
