BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,620.7195568756946,607.3157534523101,631.7152277505782,625.4421528624804,615.3513077910865,607.8496909734408,582.0867478114255,564.0888507613273,542.4352783523678,425.08622391919084
S1,702.3941143604037,692.9107934247515,725.3971874081102,721.2840523845268,707.1957955202075,670.9760860438867,643.3499771445403,634.3776817686374,592.2517332691343,455.01133179534247
S2,680.5322790703482,668.231791548956,693.1617003855878,683.3917597850938,682.4456767549287,667.1377284323348,607.1701006941809,576.6667141337551,570.117105018458,410.38030160001716
S3,616.0078992618345,600.2142087354699,660.1124312820383,642.2074892334933,633.441072281111,595.4808804909077,554.9683686901177,536.1905335634425,520.5263953389543,382.07361482978143
S4,736.4915608241454,715.6941292802575,732.1001509643047,736.6893605797326,727.2496332576156,700.1067037159926,640.3483020512459,610.428045104925,600.378214610105,436.6319667029264
S5,607.9721710011221,603.1370937662908,639.7660467459336,626.430890952812,613.1713051534392,603.643634746093,573.6970010687287,536.7697598259908,525.8670306458978,353.0092633569959
S6,690.3672700427682,663.6667442611628,713.969391232443,696.0680335985553,681.50964201313,650.924758933677,594.0753583567255,580.7231721767163,552.8926553844518,378.0979293856825
S7,694.7688220812381,682.6463129749319,707.2997316683793,694.9149774273866,678.3459479328428,672.596327814139,629.094277035901,576.7653287927449,591.7428959462393,434.00086332940435
S8,699.5551405563848,678.635024701386,716.5486908806652,699.0654072436605,692.4783067134404,680.0655826469116,641.4298614642419,633.9800773114158,606.5260301800757,459.48789132684556
S9,583.8823384699305,553.612505445324,619.0690373342126,603.7308660031149,601.0463837060854,565.5566969054491,527.8355878995825,519.599202664145,481.6987361646699,326.8290838141179
