BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,TRONformer
S0,237.3271343671767,232.16679696222408,250.1669471819373,267.28845908001244,276.5133824504896,260.32476270480754,269.10760855977617,229.52998792878165,252.55043084728888,131.58093409614014,
S1,398.2183754238819,394.3291038358556,305.377861857274,325.1253635249949,350.7372519823841,357.8447634244837,364.7069724925448,317.2410145620258,376.48496012180726,212.95806855342488,
S2,222.45154024758716,242.6918520567108,215.343430534008,246.5348497847144,297.0772143161845,291.1818680677834,324.4460056964584,299.0263601799056,293.0876263329521,178.51265174554203,
S3,328.9814020811653,363.9725595274082,275.52200299778883,318.6848558522757,341.2676514931697,386.5048521593071,378.1480957604845,285.7060547579967,358.5953849328384,244.6950702758623,
S4,294.6110671329914,316.9775812399085,259.2419756292434,279.5052474343171,303.6609619274996,365.4455707089151,354.3603395044482,321.3077454280252,356.4975673045791,201.7857646078423,
S5,400.0524962261754,411.7254111390519,401.5097476819376,397.3195200935199,424.1207125320944,395.1950358757946,382.27657245871865,336.0745553046536,327.59966064117987,204.5921118889032,
S6,286.87385381513616,310.5245617286259,280.1297859274145,325.4002711570686,331.41318795422296,339.36642079522494,361.7391223549988,349.1888991861674,323.51969855369043,186.6711917278153,159.304762199287
S7,450.48291736111145,470.76098392082577,433.8386949032897,450.11887672385234,459.202124021406,448.30283079455984,420.7632434350192,325.7175989834773,406.79052080586666,258.03729325446096,
S8,339.64011732411217,370.009665980743,356.7647510155473,361.8103579834631,371.5270479232407,422.064139692078,398.04868424892896,378.5793781045125,327.74044121463413,188.6815844009478,
S9,49.260651632206894,92.40112002269156,-28.37484567568288,62.55666028140968,100.40464971260444,180.152156709736,222.41181445563777,210.2729547435937,232.8272688851538,63.86875631527748,
