BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,TRONformer
S0,1135.8834931677466,1135.4649569736544,1062.519490437443,1107.7196480467442,1134.9126129265503,1193.4029594898843,1187.490854266281,1073.2134559834174,1191.770996749514,1093.113796389694,
S1,1332.5142737416766,1378.27431672142,1256.1949235771167,1307.5215082359305,1336.4311993468064,1391.2124874032666,1412.8179324110442,1295.446014176339,1464.4361083236547,1382.712864831126,
S2,1104.4710264518349,1128.5186242439895,1064.099007188854,1101.2224728540698,1130.2292037310074,1190.3090978419482,1225.033179146326,1112.399097097495,1240.3838678658735,1231.3131283255825,
S3,1219.0612748881458,1259.142409278017,1133.050523504534,1184.0042039029192,1209.9871911693383,1285.9235097048706,1309.386233744578,1169.1652898686923,1323.1359418323495,1322.3849655978488,
S4,1213.9737045400086,1241.8496579727553,1143.2528717709995,1198.688103836187,1240.1074527575672,1276.8439886297615,1299.295336909753,1166.1526530070932,1324.883967578175,1258.199564223634,
S5,1284.5798998367377,1336.3349695373402,1222.6812911768527,1279.309283687015,1322.7490179028302,1369.7832280327295,1374.1429012377132,1263.452168508564,1374.681078862958,1298.0881315482166,
S6,1227.588814502768,1272.7466641792305,1139.3389791452837,1194.5665926226702,1241.0862596522925,1294.8831562081357,1311.3125041996743,1232.3382846759616,1340.142819294772,1316.8022192820222,
S7,1609.2237537601225,1627.3982747407083,1572.4264819515736,1601.5396479770652,1640.22670685562,1630.4858288367225,1609.3821209803389,1471.0485906614294,1585.5219889117786,1464.0541592178058,
S8,1337.442263189807,1375.9156980448138,1243.9517504634307,1322.0940219378929,1364.4767319152816,1419.106851016192,1464.180412991167,1348.0590820284622,1466.848183775818,1443.350354254672,-190.71084457991893
S9,955.3733224833333,1000.4105861887082,805.8088111208151,906.3098785876751,982.6685294494932,1096.593385218122,1143.713507939374,1065.0463088174183,1180.7009268759662,1115.332150093658,
