BG Strategy →,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,MLP-SAC
S0,702.5035707435369,588.2441305014856,546.6578762125466,615.1090602200164,619.810742604312,666.9718145795583,558.2453965745335,405.24085588154816,384.2649765688011,-25.604623855509796,-226.6902707155341
S1,1273.1265087830288,1306.547762793885,1294.672060012179,1290.5492071352978,1341.6312419577366,1436.2092203608015,1340.0176516759543,1092.5621849503048,1511.365398033714,1547.6096842106986,576.9884700274165
S2,248.5411431920531,63.24620917789062,214.16149843102943,218.12465731478625,184.1793221040954,205.84051505458652,161.05961196201315,-51.49851359735476,166.23915092916403,335.41814576000206,558.2201067950485
S3,952.174615777448,879.9114022212066,1150.0894026087165,1118.514433625147,997.5718466230054,722.2880653838424,796.2939034485911,644.8415747258566,826.330101779635,738.8754181833725,586.6889429892188
S4,-1751.0595158314472,-1698.4696760663735,-1915.670578379715,-1831.7013880043955,-1897.8822958480755,-1537.1668115384398,-1094.838805035616,-1158.4363158295089,-846.6052503048776,-424.4154449669878,639.8429832787209
S5,392.1525056546119,626.5217181782768,60.510149218546346,130.1973478904945,338.6062900321301,487.9246016900679,726.8537876376741,661.4607150877474,869.053172934217,644.7026631181128,520.6183354623573
S6,-889.6679995504278,-666.3575122307598,-929.7254548257664,-881.5839237442189,-768.4399539687679,-622.6978212319266,-357.51863451013355,-452.1471765177098,-295.9120973821072,133.50707985145888,767.3944231696278
S7,1258.330734616289,1151.0664795664718,1518.7668231175408,1373.447163376974,1255.0909062589008,1339.1276667870056,1253.5593538477924,950.4751958846362,1207.255900313584,982.0046556895464,281.7863874355301
S8,352.87564720559305,510.0704624180696,187.1157427000011,332.85298525146914,485.50540489533415,309.61839285128997,322.2368016269206,322.81062177102024,515.0098566368198,386.11542725010503,539.1021919108548
S9,487.3009255095745,450.4386195014519,588.3083077723156,620.0476623841552,565.0915452818384,666.6622161469377,809.0537185659778,741.8478896977762,540.8104339017526,453.1009166912474,-50.745791396225556
