BG Strategy →,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,563.0247145354998,535.3662643712125,573.7837745178679,577.86313420313,571.1913246555853,534.9754892251115,516.2397263713209,495.59406611839916,485.85432360479643,370.03140184989115
S1,564.8032876207437,562.2795869941623,587.9811350002393,579.2084583774226,568.963804921972,547.638762801314,530.3336696436103,508.00393763782733,491.95345578747686,360.58691208076345
S2,557.9826955939801,531.7392678915148,581.7173828230651,578.3498152392469,566.7785114977248,537.3459708418516,506.6256721786079,480.38785675229445,478.90163453011746,349.63281434252457
S3,733.7240148594104,712.7392159115014,775.9578520262564,764.6989824220476,749.3516857981062,707.3987156199452,667.178305796827,642.8350933040432,659.9863859532849,544.4255908842706
S4,612.7933201964591,598.2255141126309,654.3262467297594,642.6239006792433,626.9493353976617,582.6812834330915,547.5155460495682,532.2609696233462,508.1165414484431,365.6587406473655
S5,657.1906954387368,643.7810000613998,679.9090881375907,660.4376311024643,653.7580680768349,621.770758379569,594.3297343732877,584.3940181558464,578.1907441352656,374.463063955376
S6,620.1121620560351,605.2906609507879,633.3604829617195,629.6371451329336,628.7574520533706,594.4492998771151,559.5012055673828,542.322654630676,524.3639217964424,372.61302744487585
S7,607.320054543349,594.8980247536957,617.9579176908219,617.9999150145459,601.0775802504199,573.4891375578292,546.9619300023129,478.3927474272238,508.6451400383793,390.55687375139877
S8,578.8139680821239,565.5654622923125,614.8481355042942,605.1128823617315,589.5071352215806,556.9294716799119,540.4620469527637,526.2042571781318,512.9537809611614,385.75224285607123
S9,554.150469484049,520.2952743491063,610.7419404251795,583.1535676338443,554.3772327647079,517.2661548689487,474.3785293554953,462.00883659005575,450.41263925602146,305.7060212731623
