BG Strategy →,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,TRONformer
S0,724.2402110897597,593.9290570544331,546.200498680883,575.3965570150446,698.7406222474326,646.5062342940829,526.2457345644633,407.38076124537423,381.25518154760135,-81.3322658050849,-552.3620246487255
S1,1295.3365171470086,1319.5187848999244,1263.205985070398,1347.3295547458335,1392.949033664304,1420.613753994446,1367.5570704651404,1092.8844247631791,1511.4693674830908,1547.2476716559524,556.272414876203
S2,227.09942255039215,97.09886915930326,226.9768670865548,228.86301069900324,121.62984252225176,180.94820133255752,118.10155927449848,-59.12029392650505,139.36289867478598,379.7996597054718,461.3013061898359
S3,972.8173743214844,879.301992564593,1156.0643411827828,1136.156289719919,984.9943820852378,718.7396290568248,795.3622274785627,625.3534360384025,800.1631760429609,755.4194971259286,-431.5614391924695
S4,-1716.813965906883,-1689.342483537225,-1896.2741829195352,-1861.6640014158056,-1907.834254660816,-1560.140627340444,-1085.6871764718985,-1158.4363158295089,-834.9330664194357,-432.3946547966644,-861.0989777159781
S5,383.3324082259998,642.8163904979828,68.84926079044916,142.2126774116468,311.816375547815,477.6013896884299,709.9583419993083,623.3148182934763,889.0588003405735,591.6862633054684,-825.7513881309771
S6,-934.77237511601,-689.6948428854523,-929.7814780954608,-906.08777730507,-755.1959166182622,-612.7494060883461,-331.6558701740258,-452.0081810123965,-336.8223522294042,153.05669001364586,-252.52302268650294
S7,1258.330734616289,1151.0664795664718,1518.7668231175408,1373.447163376974,1255.0909062589008,1339.1276667870056,1253.5593538477924,950.4751958846362,1207.255900313584,982.0046556895464,-866.7829932609749
S8,352.87564720559305,510.0704624180696,151.54585990642434,331.556012537881,489.4807502263286,340.5170801300732,288.0209034730183,322.2530010553204,524.4276900775526,392.93164239656306,614.2854937329072
S9,475.13104778037103,463.76736784706065,581.4304009704265,613.1697555822661,565.0915452818384,666.6622161469377,855.5469252602458,733.6834229019884,540.8104339017526,453.1009166912474,-324.7094301289491
