BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,-7.260578502210934,-43.77508389210922,-126.82385564980726,-124.81046486792525,-75.98016356849665,1.8094231190145074,72.57420171076994,39.248109315095846,32.8297177851538,48.48680255953848
S1,105.62765704737548,90.05088662285186,-24.44511820348099,-3.6753878463576837,28.574030945327948,5.696800423089706,66.0749189993676,62.44886476398626,101.47969590186258,179.13770368031317
S2,99.4529288939535,69.96595815772295,25.28148633341235,41.677714748047755,48.56692546133962,55.22247800570959,48.036696792011846,12.381668305665341,51.19275116241415,82.47799183155878
S3,88.44130150018877,130.9953590867906,127.3609082078019,124.11014848194999,94.41282417659389,67.24947142498941,56.46227903346796,34.40812301646278,195.97893971878187,131.98574054271444
S4,621.555231043164,670.1212056904204,512.1909311465726,542.6790833267785,659.7575317496556,657.9357095355796,679.119108286286,647.1690150235987,641.4733577824243,450.3550392500941
S5,392.1551158793092,378.5935417389042,376.4296595671965,406.40212740662156,337.912458720526,319.6952549515724,312.63130058910633,325.4549665809864,361.09136493645013,325.3381922912162
S6,-217.92419763956525,-204.95274472959912,-478.0204092402788,-489.7103250465683,-453.9502214608665,-238.90346132358061,-186.28336712565732,-160.0969806617726,-105.12690368868189,6.5964070215287505
S7,561.9662461526626,544.7375891922757,520.1584017288428,573.3791793260774,532.310494624603,587.1807427445037,566.2845404378279,483.14355933058033,463.143651588959,470.3914705446189
S8,179.59941342031956,199.2559581990576,124.23128614460991,134.2547175965115,173.37005126169342,186.7369078635955,330.06473684950635,270.37622281125175,388.7328198419346,128.99274835102418
S9,-246.5246054032399,-258.96502426833865,-208.41080466807375,-175.2023634082159,-203.45260834319,-252.17924010924685,-119.20194843043532,-167.83932295477314,-96.91789678678673,21.43303586595491
