BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,-122.3684701747818,-160.55310187163414,-247.27802702092495,-245.1608034259601,-194.23798882187612,-112.89645993309777,-39.34714312900151,-74.08425865654819,-80.56784281470263,-63.039440544668025
S1,-5.430452482909219,-21.845392288245836,-140.67199657880334,-119.19521497292072,-85.76834090125121,-109.80906821243552,-47.509987216798166,-51.047535027151284,-10.568504783690754,72.4231950147121
S2,2.3956537209829696,-28.434915819003596,-74.98161896669777,-57.877705285845686,-50.96761950686251,-44.145715880427524,-51.737262991730226,-88.73939542623502,-48.13676563003766,-13.986909471075597
S3,-17.246619099830657,27.311613097008696,23.145766021324437,19.618386815144476,-11.283100162695627,-39.31440890137821,-50.33138473712029,-73.54470155361395,95.24523685900279,30.34241391381272
S4,530.2895641147641,580.8822221903667,416.7251165371609,448.26626748075654,570.113018651758,568.2135022174658,590.0781290359118,556.8425113247713,551.2472245587252,353.44869332124665
S5,294.5163900491732,280.39091090142904,278.1469487158811,309.2564643904347,237.67562995700945,218.58370892871264,211.24161671977072,224.58884397938647,261.77275700457585,225.91429937455868
S6,-343.01989781521195,-329.5148859753121,-613.9429507608372,-626.1111782617854,-589.0893405774799,-365.20216680384647,-310.15484839226536,-282.60932435558084,-225.66130712187834,-107.18718980111811
S7,474.6273174882365,456.5402109074503,430.9738823614088,486.234470095597,443.7115975916083,500.94722425510025,479.009932524045,392.46681253107204,371.5159075453517,380.6815742467357
S8,69.90411060155054,90.58874177527649,12.385069743687184,22.43170439970879,63.33264910684916,77.50051828993851,226.96132142379412,164.9185164606204,288.41085622447713,19.985338245150327
S9,-324.59612152978946,-337.2593910124485,-285.5752991462877,-250.7871741690593,-279.91848878980284,-330.093861645427,-191.75219517360483,-242.0239259367477,-168.16880810118298,-43.2464028785561
