BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,103.43040097123856,102.13894326022726,103.23619558070412,102.13365763385401,102.59971937438603,100.43243749269939,99.52993660146264,95.19172635016676,97.95161384510688,93.09020039762225
S1,127.55601749104244,127.6796499331281,129.09535733178132,129.2224663642664,128.18773824363566,127.13476943244828,125.75509635369161,120.64640469563018,122.17343371956548,112.83009148973656
S2,112.26353491766163,110.07252186766657,114.87770672973645,113.49052237272322,111.43168049787381,109.49559860746255,107.17218944871169,104.63197333959538,105.36631190521251,98.53182376370218
S3,115.03906206188246,114.82701705263597,117.02227900212291,115.51804845095037,114.62024197252737,113.43189730169726,111.04740770565078,107.42880182328703,109.24877154294715,98.25807191019629
S4,115.04929536867239,114.2912781874023,114.55484616906094,115.50574907460333,115.29821723306378,113.92078743219754,112.58122062982088,106.72752768392738,110.61931258951324,101.98253608710537
S5,112.88811365286642,111.82841575457257,113.9029794190545,112.91239037182284,111.94038577870928,109.37698976379546,107.99856742648663,104.39906776185333,106.63138723625092,101.16470990994016
S6,130.94717566871822,130.4903238779755,133.7061508660806,131.6822771214667,129.9315916884559,129.51302731467612,126.66799486419713,121.94577792918153,124.69182211676112,112.20992269994548
S7,133.62694327496132,132.8867977836224,133.84047801871495,133.6799426642217,133.6704767944453,131.08818057146865,129.75650638737724,122.3593329523741,128.8779808319995,120.17980581282654
S8,139.15497631155978,139.14926803024008,139.83420995359162,139.17819055139515,137.58472816883554,135.58308996896548,135.46623452331357,131.15504736295148,132.10536075120268,127.17286856638378
S9,113.00319155893341,112.23753030521857,114.97863568667437,113.45988220703617,113.09529309418065,111.25549791019164,107.69760357493662,105.40730728498139,105.1629585953961,95.74344304779487
