BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,278.8910841840536,420.1952382810459,136.4811113399392,146.6570220541188,231.03607329649608,232.90414565608074,27.55146404994506,-50.20429161868359,70.96909154214731,-161.5645550551773
S1,-2.2565497918188338,232.0175361882542,193.56879116359002,259.8581666563583,458.3114765425179,209.33997499732465,395.46080691570444,218.95968862817196,410.44667743955796,586.5529508759382
S2,-181.92624787234467,-93.88022537742823,-427.806329896281,-377.51019166668544,-357.1466374745793,-406.79898268513784,-178.00385012072812,-134.54289374624412,-62.53182953267004,309.32323618842133
S3,-339.42671901435676,-314.94142218134147,-486.8196110322794,-306.3228963677635,-270.0068939631546,12.112646082440188,-51.181255077932725,-355.29083575350796,-140.48952849085362,-62.47752910572788
S4,378.7623786351953,241.21148455346895,498.6665473494382,255.5578719694403,556.5419443244739,621.5947522893109,679.7227022496764,604.5854552944104,750.39713867761,881.8252340856158
S5,1024.199356289495,1051.3829885089951,1079.7339380228652,968.7434824391245,802.045643580988,828.8513495759463,818.6373147754111,612.5900305873959,822.21576423328,688.847843583959
S6,97.99946246419422,363.1836087948608,272.2651089168496,325.39749164321535,215.61130167193195,559.9668355599184,697.2693064545022,646.9886524376544,683.4054243344451,520.282520947132
S7,1613.8776415325592,1590.0932529083466,1784.8112431685781,1697.856929360664,1624.6301724832035,1468.2097492441717,1264.9549311587778,1263.6082698646917,1355.466805653187,1365.3738390586366
S8,-528.208556357151,-480.98461097047675,-450.7697861401723,-423.03228291858454,-448.75781946048625,-257.4683186364081,-291.38872359362944,-366.3686135512643,-176.0489108647581,-142.03294017467928
S9,60.04192674491525,108.60206680350986,-14.510092966221515,42.656740682713036,29.93745336131217,90.18313932530262,513.211097982209,461.1290479274969,492.196407271257,214.71080483132246
