BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,708.121558071255,711.4807698594283,704.4664321478675,708.0983472201186,704.1592458215857,716.0813210911678,668.3066765115038,641.306932226793,613.4001210878329,463.8473836975332
S1,886.2486886482919,872.215718636963,910.4342427752235,912.950172124958,889.1664388405651,848.1410352292324,808.9970570630364,791.1766952187016,748.1459437388518,574.1801410833029
S2,892.3930213724396,871.6717108079002,891.2843838556302,871.7445890296667,872.3108271925505,846.9797241686787,777.6714038223714,742.0605692948876,739.3869434076983,496.62857348707377
S3,809.951298455081,801.9415930795685,860.1958033349114,835.1275115811219,825.3784434237976,779.3823913513511,719.0506208448811,676.1279250509284,682.2022214197269,504.0932328456651
S4,947.8634672733374,931.0925991796232,938.8198061032557,954.3593483800762,930.9821807453544,898.1723056730646,825.513044703443,787.8062576804855,776.2802271546411,563.0166771452314
S5,693.2748886330434,680.8842901747194,717.862132728847,687.7616119954297,669.4042360638846,661.6937141465954,629.9025832709126,616.3234641832126,570.2699506908908,393.9864487115384
S6,838.4452089078032,803.0800674351773,892.254051866897,859.104221108971,840.3113461621042,791.6374786126645,724.8693895395415,696.8123511459568,671.3859530770295,467.74620668780125
S7,838.8264305326867,834.9788586264098,853.944255138798,842.6163815781814,832.3228894353219,831.6376446577763,771.7290377768328,704.5383673124535,713.3393241935697,547.8711139702203
S8,837.5686494575014,812.2372594842234,864.2244902813442,835.1864979994041,825.804668579099,807.0153574226982,745.8098741922491,735.2022944144977,692.5036122324183,479.10228834887585
S9,708.9682185731468,673.6411715361796,752.2889422836645,736.5712482639717,736.9521661711534,702.3836341859184,649.3919941250404,642.0701168277802,611.6135450913816,441.0261758813444
