bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S1,-162.14778607697028,-15.25881546110361,146.88897061586667,1046.8682764393877,0.14031275368804372,False
S1,S9,-236.6921813445513,137.41361853900676,374.10579988355806,1088.4677907764844,0.34369946731880857,False
S2,S9,-890.0029181150169,-115.60047363619364,774.4024444788232,1062.3811833875175,0.7289308739538827,False
S3,S5,-785.101194201418,-454.5295836364737,330.5716105649443,1190.036283152589,0.27778279977246517,False
S4,S9,110.70025965081595,455.01234002729336,344.3120803764774,1132.5445108662223,0.3040163782288183,False
S5,S2,409.1082328080372,671.2429158282953,262.1346830202581,1017.8976125572653,0.2575255897906046,False
S6,S6,275.28452171697427,275.28452171697427,0.0,1067.93336144447,0.0,True
S7,S2,884.0895491367462,1423.6612523001231,539.5717031633769,1154.930372176012,0.46718981175182556,False
S8,S9,-642.4483801023609,-597.1238009275594,45.324579174801556,877.0454270211266,0.051678713300798915,False
S9,S6,-72.67268760675584,227.87154074567627,300.5442283524321,815.931170862477,0.3683450750321782,False
