BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,-162.14778607697028,-15.25881546110361,-310.0899396497594,-299.3963407068486,-211.1087039783303,-209.4218226931732,-423.7392400667787,-504.23122715484766,-378.39606293658414,-615.2765575624956
S1,-480.92507794269284,-236.6921813445513,-276.72005339573184,-207.42360276584387,-2.0084846579177733,-261.2100546629605,-66.83495467415622,-251.39663102855906,-49.264157109799854,137.41361853900676
S2,-634.8610491713307,-543.3111004769747,-890.0029181150169,-838.1976165712003,-816.836292831244,-869.6902776248411,-631.0703861687147,-586.4171091633142,-510.4499764426492,-115.60047363619364
S3,-819.7679135442069,-794.6408232621826,-972.0266555044221,-785.101194201418,-747.7709134090215,-454.5295836364737,-519.7751094199007,-837.1651824058966,-611.6223278749212,-526.5754354912373
S4,-74.70129860603328,-217.7528269737829,51.040816033540324,-202.80379775455924,110.70025965081595,178.6257902380248,239.3938394162656,161.6534104708785,312.9451270864361,455.01234002729336
S5,611.5890266258085,639.7692500358568,671.2429158282953,555.0023921122186,380.68988817109016,409.1082328080372,398.115718604162,183.0645746067907,401.7930517778731,266.5085010453705
S6,-349.3378214158799,-72.76789159791807,-165.9275110372994,-111.42548746659654,-226.0371022647859,132.15159003419083,275.28452171697427,223.24731408563676,261.9075687691354,99.2915947815697
S7,1244.7732607629805,1219.9081789766533,1423.6612523001231,1332.4387670074548,1255.270507038375,1093.0247423806243,882.0990588431335,884.0895491367462,978.0292882731311,992.7455314121644
S8,-1006.669848736828,-957.5376234363447,-925.2745556818082,-896.9839813687767,-923.9318933007634,-725.9039265642963,-761.2899436405162,-839.3716914022535,-642.4483801023609,-597.1238009275594
S9,-248.80216987884947,-195.69317433857404,-329.76337533327984,-266.12116101789775,-277.40360386843815,-213.26299545550276,227.87154074567627,174.5652629516247,209.3408067992971,-72.67268760675584
