BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,738.5610069964378,741.9304732652395,734.561920707475,738.3060868873528,734.3162844592446,746.8368619574347,697.2009256570977,669.0823384843417,639.6567911898258,484.1944842826178
S1,923.7002795170775,909.0643181201752,948.8999434992022,951.5410427646948,926.7005654750267,883.8699290482803,843.281361267871,824.7728884908469,779.7965441007929,598.6352788455937
S2,929.3087747873384,907.7483672369566,928.0538758633154,907.661133654819,908.1781102450244,882.0063448701987,809.747250428267,772.6096677592244,769.8985757347792,517.0781201239712
S3,843.8402715816579,835.5375523479928,895.8103108977148,869.8826626485122,859.8792139752858,812.090209547661,749.1841015356044,704.3827072531724,710.6274142845289,525.3411470391637
S4,986.7611905352517,969.1318456079905,977.3778299432978,993.523545152784,969.2590526579802,935.2036201763317,859.4645150573571,820.2395990966256,808.2681182543037,585.8275837938713
S5,722.66988891139,709.8789078675113,748.4490012837174,716.8114323478887,697.8051228605015,689.8837888566354,656.6010456478626,642.4755691572038,594.6259556136847,411.0644005666708
S6,873.3611908871585,836.4869771140221,929.4073700918938,894.9760442342905,875.3012780494314,824.5855319410751,755.142921732729,725.7718487059714,699.1340930591603,486.3496482257778
S7,874.9509393871782,870.8923399300254,890.7861203363136,878.9573511035654,868.3073387334641,867.410904076345,805.0472980606585,735.0947234137925,744.405116203662,572.0908107217922
S8,872.7822752451178,846.2204434324037,900.6887121528436,870.3695179373557,860.519435769392,840.8739907277998,777.1534005472847,766.0118259512801,721.6700128379033,498.3985088553242
S9,737.1853051684589,700.3684580503431,782.2622496588666,765.8252063749558,766.2393193650116,730.3857156613589,674.9367419757268,667.2989716178436,635.6367995723593,458.48017396197594
