BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,3.1997266406412637,-65.50584614230512,-130.6725072280687,-120.2139905364786,-60.81858731933818,26.092793101895797,63.73108194721506,20.175196603562537,-12.611190033241568,-32.662084735663534
S1,5.39080100473114,-11.196358318894687,-139.36065044747187,-107.92552229862757,-74.39448156029135,-98.23490237338454,-36.21800037916702,-46.4254958776704,-5.014925948266689,56.28818675471202
S2,36.2217051343426,5.515759319915087,-13.744622000409318,3.0467916804427952,9.644377459426003,-28.166231362448045,-35.48377375759381,-72.48590619209855,-31.821489565252545,1.8521435131256494
S3,-84.68006080213198,-32.07361917238078,-30.485447644237006,-46.49199432329527,-77.60181463446872,-107.20996949779035,-109.9116149993587,-118.88254752686541,29.176350360337892,7.784711411717534
S4,549.0551729179183,607.0722081967823,434.6836097458555,466.43309402278425,588.4881785271193,595.7433690831962,619.0640054686003,585.6795147100528,581.1619714911985,359.18843515692396
S5,358.1483047799036,335.3721283901349,342.0982952829451,372.87592486501006,303.1858307962351,280.42547552734436,255.19731158106296,268.54453884067857,294.6032824032005,188.99512630469732
S6,-333.4868371381743,-343.6409591027221,-580.7236126353864,-593.4278836361559,-556.9268792851838,-356.3789940013801,-325.24871263632446,-298.19305473337,-237.45705276225777,-114.20176490485618
S7,427.97200668186275,421.1885090698913,404.15731911687493,459.41790685106304,408.3598957540493,465.59552241754125,443.20563098707964,356.66251099410664,335.52672293745076,369.14213555703896
S8,35.6002350968095,56.59301242566947,-9.870627283423454,4.151462160763229,19.787341899556747,47.57845604393426,181.036730651055,129.37812582189713,243.03879442276101,-0.8315608497325738
S9,-278.5075313827973,-293.05545393363394,-217.2859771706094,-200.54824946313138,-229.88789741720828,-284.44082322196573,-146.7068177709267,-194.43755981156883,-125.0659173671915,-44.872820767931145
