BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,206.97932651020517,187.74261120630027,217.16521044248978,217.96379972660614,208.35402383268823,198.4418006406553,175.72683441637554,167.182663868487,158.67799407353434,112.81241555891295
S1,207.8627197374105,203.98171609842834,223.25421712381916,215.8692363845289,215.18426492083566,205.61869269044257,192.0647155821716,184.42089795005145,185.84464830691573,137.70832644760344
S2,208.76102914260636,197.52542429820724,214.7946389432426,211.42222253270762,207.95000543569145,202.76351474885817,188.81199528407782,180.13285296655977,177.9132310503331,136.47488642497933
S3,192.0027515837413,173.20337706142652,213.62076974089103,206.86499056544903,198.1022166310034,182.57079369677044,169.85703955752047,164.792282198602,160.8010843464667,110.16684728405411
S4,245.5259003638502,232.41398625194506,259.9724249218606,257.0617669212415,247.70047073049534,240.96063968747814,226.24201679958708,220.18571703109632,215.39992652657907,150.82400071525143
S5,235.42818388624823,230.66885821991548,245.65359881362394,241.9070463476025,228.79356679742133,221.84105567561002,210.93144723183525,196.2787869109913,203.16991701173515,140.14718085643435
S6,172.61805248662424,168.38730490928023,207.6620403702129,203.8723037061969,200.12316234787525,171.39055004985113,155.0646344159398,148.21323200227403,136.4169129173797,94.66702687960712
S7,200.60945738868818,192.05709243381878,212.62326833467498,200.12187434159807,195.18229969371248,191.5950571379936,186.96268667736155,168.45012472583184,166.23137513483803,135.51096874555355
S8,226.63574316693354,220.75532996370887,239.49239571657003,231.78794379783733,228.25475224680744,222.65293384277538,213.5627759009153,204.36071227932723,193.495711111875,130.3183110376151
S9,180.74702577798902,174.3827558518724,192.17313514980134,188.20340041976903,185.40087209804236,178.1890709200509,162.21266915175835,158.2164755568604,156.4551007763802,101.28778317374268
