BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,120.16339247935534,28.305503373184415,-39.39353609819984,-40.99359018197464,-5.99328247950878,62.18874739467108,114.2933166802935,89.00922204246439,35.858116260277455,75.36456691842002
S1,83.73547284701432,73.54508395874957,-52.55327954180527,14.160940224326186,26.291698134768435,-21.592877514112857,-13.129907122809673,11.250439259712351,52.58985007097825,57.53316977341383
S2,8.761089179012837,25.830941522557026,-21.112179543807027,-11.442172477881046,-16.103357826630877,-44.172623958096345,-4.758666446476418,-4.234548473292263,-14.287871340416896,82.21829284978614
S3,35.09254628622241,70.90214361073912,100.7994488016061,88.36469736962337,52.503886316608344,43.93491194867942,55.35694738492326,-14.634003112699109,143.55696337760205,125.86774076423893
S4,769.556039783447,803.3704711081436,675.7980743919617,710.2515860055516,827.6332255151389,802.1719872818094,764.6928360847955,724.0861156504196,734.198488837367,494.696813846975
S5,331.9293495063304,362.07218148716095,339.5451284047759,370.344210650125,333.6191356985103,328.08389960094536,310.54229062553304,272.0890093652068,338.51195369584417,249.12312589033743
S6,-296.82090290605964,-266.13892116180284,-593.1644220334022,-591.7493090883603,-524.9779551283252,-282.81074055826616,-276.60394174217527,-226.67659678963145,-225.63627888213747,-59.244845888104756
S7,344.73368604351884,338.197588860733,358.0593915562184,426.57990258467987,383.49419214179846,401.0054499248838,396.6874323075898,345.50640415849546,283.8929805148783,360.21802528170576
S8,134.39734741422083,189.17816035371925,76.77651629380786,107.49937168545328,150.93701574799908,136.81180615578677,223.97611588068798,176.38027069691103,316.46278232516664,96.72329819538867
S9,-110.5238473012976,-128.93970240317384,-98.68678593840677,-82.67300687253973,-110.92325180751385,-149.4801851859977,-4.568529076379258,-69.82604531234529,-1.9120238552358642,14.45322867486917
