BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,190.54526219993878,181.36117351996103,201.27432211907063,201.5535927654225,191.7561489020389,181.80289575663497,169.87819751311073,161.32885872887732,157.39072847101522,113.95161754610739
S1,199.64042208353038,195.95598083190885,213.32506865141536,207.35661067483105,206.68589196340682,197.5398235269457,184.4412640749403,176.87504192334788,178.21158463536707,132.98603735755415
S2,202.95313027274122,192.37937086254746,210.32746223661852,207.1427845039569,203.88086173199048,195.16108062607213,181.882050648858,173.5062556749745,171.492578715974,131.8884371510444
S3,182.81155840755906,164.07403048928634,203.89183991139123,197.03561787658006,188.63319930910274,173.68547225499447,160.85919670226997,157.67664809525758,152.09563244246561,105.60104649810572
S4,239.44686945095805,226.9205021725186,253.24673809698507,250.47944262277147,241.61803774856122,235.06838462104088,221.03856507995454,215.10453550901522,210.73373944763986,153.83520064636454
S5,226.26500025648104,221.20258348985197,236.22220686211813,232.57017299968874,219.9528870195258,212.64777092754204,204.04250543219172,190.0975590294409,196.2607345604611,138.88186864832022
S6,167.0261578301153,161.54684674536983,201.5131038653012,197.97522557038224,194.39543894637652,165.94312482910496,148.77944863599112,142.24369335969132,130.9243009066772,86.2558584095441
S7,194.10694517974707,185.7337873356593,204.69032118399008,192.76408973455875,188.73868288359222,185.2811655182179,180.93357066692045,163.4069736003494,161.28154175769592,130.5145093633258
S8,217.70993597535966,212.0541591622771,227.63577476971966,220.17791891466902,218.29091485740406,213.90551366424629,205.70355001911622,196.68697740388873,186.40755948221823,126.3794074821426
S9,177.21045189452565,171.2616836350211,190.2474762734741,184.2597410250817,181.5920527745177,174.9426386333927,159.9277497648293,156.2265085432982,154.46094062592897,98.69379979609391
