BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,215.82927802777405,200.99869115742854,227.37744555512754,223.97632811201592,218.9389781775885,208.88730924913202,187.75725761035213,178.3518310360545,176.74452206093423,125.77532012911924
S1,202.02017332693615,193.91750245083165,212.9049084097035,204.3495304548928,203.55405891488192,198.05218699575119,192.44062715243155,176.3083153772684,182.93927136504107,125.73705635332557
S2,245.45264567723623,240.44672312904365,253.27275619561064,248.65184518339387,244.82226852508256,242.43093664921832,234.98010051446641,227.91626940913486,230.7964761605394,191.9196090017305
S3,229.07023509326223,220.42627153438315,242.64355889402677,237.88213021283647,237.94193231398765,223.63769981214492,218.4441662553643,205.3984570220238,201.40110009113994,158.2155370218243
S4,257.2315611142795,251.3418527257434,264.1668438703849,262.436255603089,257.38953038981276,255.38036539007982,246.02100972326588,240.588289991101,239.32926803524362,170.62048963298264
S5,228.71296315375906,227.04965755423174,231.83935942702223,226.09689105765307,215.92350102924814,213.861913693452,197.7334840075722,189.38354696129096,188.1203059463141,147.2522755585625
S6,207.21241231822037,202.49763725561695,219.46262759119335,215.69492455924745,211.11667786309644,198.54868331356738,191.04689283149094,179.47764887814242,176.25990097582428,107.15824727390215
S7,177.89085806652847,170.04872085442184,187.65676801347348,185.729039161894,176.07607202386833,166.33309835326804,165.60664891919694,156.15990672781035,153.80575041383452,121.20672089894514
S8,234.10050540961856,235.93655480457275,253.62473205319952,250.2436548917002,240.53208579173366,231.39217094448804,223.47083068912187,218.43585256036147,199.2786728112676,132.57544634011697
S9,192.69365275019143,186.7903047533039,198.21311087453162,195.8218642516489,194.90397651836253,188.72604451881148,178.11939230209873,173.65007563171605,172.0900234910172,124.76040698671046
