BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,595.4045252432479,572.3713365916939,603.0954151413636,606.5672378011882,606.9828176409424,566.5207048339927,531.2990083359481,518.6423617193874,519.5147884401094,395.70639056178516
S1,727.7223594367694,702.2209714461518,748.6571576148742,748.075815838552,744.9417359259529,706.7362522751457,674.362436552174,643.8838669760587,630.2376461572127,450.3287860746131
S2,646.1433295934926,626.0122908595215,664.9998650427692,649.9355423425221,642.4418696109393,613.6006426888189,591.0356002056217,569.3453368298156,541.34951572669,397.59046787960585
S3,581.1125385963962,567.9525314737106,630.6641823920929,611.97007039408,589.3361486723871,562.4902347538126,522.6279176434083,501.3765324892242,495.5486027537229,375.35704010712817
S4,685.4307081900577,665.4129666755982,710.4265750269457,699.0257673258607,693.1225408064913,668.0855431878996,623.2446898002629,596.0372309327963,575.4461225608013,442.0307019447201
S5,649.4577850312033,636.5768810569764,669.3718875889272,656.5901621994218,648.8587052457325,601.978410839329,576.5084488837387,558.0898372493008,554.7302678314259,377.79062447637267
S6,752.1790355940132,719.2547366162248,754.106340749133,750.5358369705302,750.3227377946756,713.9485822552634,674.1543188484458,636.3684537263669,632.4507373831846,414.6653208696119
S7,691.4236114369165,673.7728011048795,703.6383448451154,694.0215598214882,688.09978218926,665.387976237905,642.7738662027022,598.373217451136,617.7739836083423,459.0611727681543
S8,682.3129029127663,657.0793095251909,710.4772442057955,699.0819261434798,687.4449166022562,659.7753122073578,631.4705115411915,618.9098957068657,613.8547532758308,424.02899113338265
S9,551.3247580352788,523.5329322266474,563.3017117112912,560.1850302440467,532.2538802336722,511.90603503987205,486.83991461065136,471.0580246464427,447.7639284941782,286.4398453166977
