BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,-605.1203849176916,-798.8114683279257,-1112.564987966059,-788.8847797321747,-776.0319739580867,-628.2682241549114,-741.1381099193461,-686.0099626427249,-691.9998817134067,-578.7683790522923
S1,-453.54506681409003,-510.38082321086875,-456.00020922890087,-516.0977880627547,-422.79543861002304,-431.6834596797189,-318.0737126800123,-580.1463359601255,-216.61291687247845,-95.9639820383385
S2,-380.71090873273505,-230.16980688390666,-567.6473607999133,-395.51212472706527,-93.59382546578301,-290.4747871507193,-105.89599057436885,8.083450120488385,172.3121247819532,246.20053123638786
S3,-569.479981567327,-468.0570593572673,-754.7049520170871,-670.0964668551932,-935.1680280602092,-649.0605936329301,-759.7001987228805,-868.9967742936714,-810.6263978557776,-584.1160732482524
S4,-57.945216256800514,-94.45344090834318,-95.85885921880417,-49.95891646750271,164.91185408134095,1.1905209233831846,241.31627580449816,115.39297286514531,169.09467517684172,196.24588556853803
S5,1002.2350758852156,927.3080327847894,1030.3619238987515,1145.3240659838625,1164.3442392182872,979.4065205269984,623.5151732961049,459.7795764607711,604.5277813047215,137.5384851406183
S6,-620.364591029355,-395.3099314020034,-720.3594403472827,-853.5130667774918,-613.236534605263,-618.940219213783,-331.1036179122283,-554.8788764852618,-286.5577898340953,-216.14777046934114
S7,229.23143842305836,296.3987109559799,249.68765458884457,242.2613361494732,326.79181231755683,183.079838332665,182.90662730797112,159.08370793891788,192.12702534346323,232.46848231344129
S8,548.5987189855306,285.5204305753119,609.7315577210642,673.2846865064996,564.0972636744392,683.8168718431962,488.79818853397364,299.37206712115494,395.1073513843463,618.9844434925094
S9,-3.2730208345210414,-61.06606164134754,-126.936853702616,77.50358736873669,72.94685019811831,-22.31119822127148,87.86265200873214,17.036091527402952,-65.53927317955345,256.069368132228
