BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,601.7851775641006,589.1787272492226,617.2564180472007,610.0031251553702,600.4562737282249,589.4641340682415,564.7605034288237,547.0132277778017,526.9393388145937,405.4738063690824
S1,675.6568582551092,667.0471558548588,697.2107198141765,693.4290757115177,679.83048779052,645.0862968508158,617.4692746461843,608.9075511915435,569.393777127208,437.10505932483017
S2,657.2055630817553,640.7653088621898,669.9472436894321,659.9784768311707,657.8988991830427,638.8789357666969,584.3269457194427,550.9232213123877,552.1963105213605,394.91404364981616
S3,593.1465357419064,576.7029761954956,635.8210078283131,618.1594940636672,608.9478038224818,573.2542817305443,534.0524020884361,516.1851734311545,500.8610270455273,367.43511149621776
S4,706.602101779293,687.5599964887832,698.8789515277529,704.1186292632867,695.6707549646518,672.418836279609,614.7619631365263,586.1242698018192,577.5230565750121,426.92169983895906
S5,582.9831763394475,577.8115949090421,612.8448488056331,601.0514078573377,588.0224327002458,576.2186420227594,548.9725947320334,514.7209051818944,504.7190581759125,339.77581945349374
S6,645.7419275273506,622.6197425414294,669.363534011698,651.9813105476087,637.2642936930873,610.9308685778261,556.1859673454362,543.1686134712702,516.4086153292004,360.54356716645367
S7,657.6935591129019,644.73386744243,670.8498778376086,657.6370730087515,642.5855693991434,634.7670056531747,592.2259247154002,541.3734950926307,555.6673079125023,405.10029387422816
S8,671.7974698484678,652.0093305223855,686.3709760999101,671.3045671179922,664.227666945084,652.6394578219649,614.7471967384537,608.0199387465905,580.9214192538145,439.2172781901892
S9,559.2046587889175,530.0617266334008,592.2873468345103,577.6333381431853,574.9107087422957,540.8435923861246,504.0613176175562,491.9710652713234,458.18051133278107,308.97273191751276
