BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,621.8965429932351,610.6121285230515,661.188337486199,637.3235280744952,640.3373267372484,603.8091926990145,572.4711293409076,556.1703399842124,532.3042065848081,371.7421964203151
S1,625.4711388191316,586.6252657050135,666.8784828221193,661.5318400888301,638.6121355937322,605.8247946246861,573.9857596401548,559.1856493290385,525.4641892631143,410.12143811585355
S2,641.3499814076164,617.8167282684044,663.0244287265896,656.1449164925964,644.2779642327367,608.3812898612906,566.6137698518037,542.8638939946279,530.328313763807,395.6935493406242
S3,698.9469671345176,680.2275063666871,709.3258495984119,701.9399681139419,687.2132419248784,662.7276662319897,633.6128961257181,601.4138956052204,587.8259844313922,429.24251857333286
S4,666.5659051875832,639.8102243701259,688.3553864798416,671.4406200580121,658.239095730628,628.7260187942202,599.3641954564073,569.5180205661522,546.1108486077063,413.7832224162201
S5,725.7051392341913,708.013111928181,743.4270702175876,749.6042482622165,728.0846761369529,702.16670075966,659.3350778134229,607.8904160683389,608.0406575166601,416.41322802226193
S6,626.8935028335139,597.6124222226475,654.6389197991026,641.9491645557033,638.9534313493702,609.6933297951589,572.8589119007374,563.7915287438897,529.2733928437165,342.43438169954015
S7,626.4616909486672,593.3648307962732,656.3537763899606,637.6296375353403,628.3342905604834,599.7375730161077,558.4440438333478,520.5583868939309,551.6812016867359,399.90795763396585
S8,662.6938411523358,642.047108312438,705.1887167205457,697.3939002194088,676.7749833634552,643.9261118739223,592.1410720986122,582.6672286823884,560.0866279672932,407.3789149152557
S9,610.2144781670667,584.668059917668,652.1321774126066,630.041384757157,622.6215073325624,590.0492302438645,554.7096123101702,546.1245785963446,514.3245289434669,340.52032484326537
