BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,100.77288871087003,99.34706729428547,100.63408859121853,99.27691668838642,99.62954146562876,98.08944210469389,97.24723526268636,93.15522333701523,95.45712562505034,90.70131596355962
S1,122.0981139965324,122.08321525431248,123.05322489524008,123.37334492188225,122.7437732062031,122.06476456047588,120.92116176886948,115.9669677132778,117.27514489112183,108.11873392864146
S2,109.00648206472063,106.77947958384607,111.6810025568701,110.34357134011225,108.52320728239344,106.30566314363882,104.00707800531353,101.5429070244897,102.11444939193657,96.17928410497771
S3,112.13791908109418,111.89342566465521,113.90259805513061,112.67947117758798,111.92584993748676,110.59837707419166,108.47432162881351,104.67088283253602,106.54825408660949,96.44332952811853
S4,110.70848126019685,109.91080270874798,110.14418030151285,111.24893224822148,111.0996777910431,109.36826446382233,108.31176686822877,102.50445353150629,106.50035916322165,98.38976802562793
S5,108.73972778006767,108.30786850302773,109.40964919635697,108.77284266387434,107.67193540280776,104.96954622292225,103.96926293736975,100.5582236388652,103.51226081335864,97.88180655159385
S6,126.92600853063885,126.49773997222744,129.67897643390762,127.82058636497828,126.08637354553488,125.731540406826,123.23830010667946,118.38233648249495,120.93859889701388,109.87544988141791
S7,127.74436962484583,127.28665154985326,128.0809818969203,127.78898470578773,128.03892769583507,125.62227668086615,124.36828712835346,117.19587215990462,123.45214994920381,115.7548221667651
S8,133.52550678314898,133.5858589593677,134.10671099860312,133.58655241825184,131.93077456769154,130.05324356569164,130.32890958293956,126.00781307732919,127.3045807184017,123.28458385466206
S9,110.21503811297494,109.54112090130036,112.03948772245282,110.72242720109406,110.34432665133865,108.76850700825685,105.52793318414057,103.05254413622185,103.19144745636142,94.24328073625325
