BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,104.69574873017035,103.3400900250915,104.89897997984546,103.40553520005173,103.68912815873077,101.88243235978706,101.08784082628573,97.16668472418209,99.30554666431017,94.30341055966187
S1,127.42362931398182,127.40434117155742,128.59034510446193,128.7745208719659,128.1652642188522,127.25851544416378,125.94868282662372,120.93782427332816,122.07222474101349,112.68279036770107
S2,112.17776145637538,109.8833398764025,115.07620602601699,113.7038342179965,111.66669795908808,109.28710492722625,106.8405358644961,104.46369838699896,104.94582052533943,98.6500384566609
S3,115.41622539111412,115.17151974638573,117.28927152018746,115.9254926139405,115.01194323978474,113.73962060117273,111.41318262806374,107.73974578472702,109.52425393104058,98.47429549177248
S4,114.00116023245062,113.14464423159784,113.48318001796989,114.50339704822264,114.23427174509139,112.46297392189574,111.20266771904028,105.41419280875306,109.18345538834663,100.54472399088324
S5,112.82113668493338,112.28374606453376,113.86207538273521,113.05567031263706,111.97510612536446,109.01854911271617,107.80009688155575,104.35952238573164,107.17911738216385,101.41039910471169
S6,131.32838502511117,130.71760134836993,134.23353565025798,132.29903335807984,130.41890323277445,129.94568091242334,127.24447504866188,122.33218717196526,124.50617459784468,112.5866488405769
S7,132.44807135838974,131.90750330289643,132.79016145721013,132.55606137454268,132.6193123649991,130.09979854303984,128.85668549285447,121.56493454791428,128.01641012701106,119.91473432922976
S8,138.39366758224372,138.39973159763923,139.1213625170477,138.4626245820973,136.8464684258421,134.74933516577897,135.0138132460879,130.74519734498233,131.6633042303455,127.04389855482485
S9,112.37920358787139,111.60100611815429,114.58643805522986,113.02882687536047,112.53368504792608,110.71317907185245,107.25330812458398,104.94317135975844,104.80423726665052,95.17812206674505
