BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,1122.865330051732,1126.8792671468207,1051.0022889858765,1092.4904777561305,1119.9415209940712,1178.1800460477332,1172.8160319142862,1062.4637527713617,1181.9119207055276,1075.4447518592422
S1,1311.0882125188596,1359.9802399136265,1233.3382593068463,1280.13991158301,1311.6639719001437,1367.5043598618252,1384.2098954696976,1269.080034342375,1440.308128185195,1371.4500964991032
S2,1093.9578050493476,1116.581109787279,1063.3174927558498,1097.3621124551607,1125.9969013512896,1183.0737602597,1220.3553727217877,1114.4898245608156,1233.1874271479219,1231.0246281713294
S3,1216.874119856552,1258.5365567051442,1131.8323579646294,1184.420230043388,1212.3801938862553,1288.864853521124,1313.1630924048056,1173.5016834256091,1328.4698551996178,1327.7444322180295
S4,1210.72327634155,1235.0924827867755,1145.2428680915903,1201.5412724690188,1240.012279917314,1281.442103026066,1302.7098325047475,1173.065463185205,1327.3483818641603,1257.0487917949847
S5,1255.619422315912,1299.1224167443868,1194.9146647297712,1249.6494354756271,1294.9173732080865,1342.8659653240013,1346.2964476830916,1235.944591175369,1338.2409655598428,1278.4391830364757
S6,1221.395453023691,1266.8231625123792,1135.102116099761,1195.183570301315,1237.9694766893886,1292.06049042047,1305.4659335130773,1223.6663833162456,1338.6804518144108,1307.1227532445187
S7,1592.8254061284674,1617.0680111113911,1558.2052371140526,1589.6834935658835,1628.5998641928593,1615.4311860773419,1598.0612914861622,1452.9265642250168,1574.7602321140548,1462.1166838215279
S8,1309.6513966166438,1349.8459075482876,1216.6842951476265,1297.5373092768498,1339.9393196089122,1396.0990782903125,1445.3889630628378,1331.8343023830787,1447.7748346164385,1422.4119737014507
S9,945.549680692086,991.0160494955362,794.4717458409278,893.8891236016617,968.1846633184983,1086.1529671420392,1136.4658739194854,1054.10780025562,1172.1379742078761,1106.9218610514401
