BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,99.77492951100709,98.40110867267647,99.2771680285188,98.27311647021776,98.77261470404822,96.91959030362281,95.98980320055792,91.54458053162665,94.38985906743785,89.76436795075185
S1,122.0846035721814,122.2308230173096,123.39139921287774,123.63284588080651,122.62247996848022,121.78975353578761,120.57816988937338,115.5285490359522,117.2274824853298,108.18467758746613
S2,109.07010727379578,106.93552264219451,111.45191734882515,110.0954310603654,108.26083625740326,106.50486721168159,104.27717129553166,101.63344935752491,102.48622572784686,96.02434884275468
S3,111.7988250928723,111.58667195621737,113.65252422740446,112.30124238956809,111.56900652448631,110.3262707198094,108.1404478431555,104.41749452820346,106.29682642883586,96.23659618771092
S4,111.69357207403532,110.99772828206267,111.17961361923888,112.22125803365886,112.1031202952526,110.765725794175,109.62183383827093,103.72455729966013,107.87500273208296,99.7588357455499
S5,108.78480662815167,107.89031477222473,109.40457345646634,108.62042636720491,107.65999292868091,105.33998455747246,104.19280533039367,100.5986156943835,103.01382249000912,97.72927714120053
S6,126.77704399872746,126.48079239418422,129.38472381687674,127.44322577701065,125.84839616476134,125.54655761211106,122.88878131676988,118.2090252043576,121.29565560791913,109.66026547890708
S7,128.897946176701,128.2547190091114,129.1083421132085,128.88355909140492,129.0636293985988,126.56789331075213,125.26324010146159,117.93227989896474,124.31113414004717,116.12938604176311
S8,134.1192150169377,134.15542691962077,134.66357731585646,134.14791724903077,132.51325232965064,130.70928933178175,130.65158961073928,126.28889935993976,127.6075295678792,123.31129171253518
S9,110.73937658335768,110.07171243848416,112.3567957863698,111.07005426986962,110.80401528818562,109.22151622896865,105.90294890253568,103.4204979074361,103.4777135818856,94.78434611238463
