BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,103.43040797827837,102.13894815185891,103.23620231168326,102.1336639574227,102.59972942123467,100.43244614471672,99.52995055211407,95.19174048393258,97.95162685114235,93.09021340421033
S1,127.55600225682635,127.67963317348595,129.09534193013934,129.22245168761233,128.18772167391384,127.13475463815372,125.755073675669,120.64638856706766,122.17340963534294,112.83007184044527
S2,112.26355639330039,110.07254303844113,114.87772269298128,113.49053913173287,111.43169770921426,109.49561797384,107.17220998146105,104.63199305115974,105.36633143106748,98.53184458133869
S3,115.0390383349037,114.82699351231328,117.02225480610407,115.51802407540382,114.62021886441953,113.43187462243036,111.04738586258885,107.42878025091905,109.24874731174161,98.25805118446316
S4,115.04931146254866,114.29129553340626,114.55486404144484,115.50576737192775,115.29823628633149,113.92080742245271,112.58123857078346,106.72755772767214,110.61933256328105,101.98255311418058
S5,112.88808713658544,111.8283898730053,113.90296189547985,112.91236659207297,111.94035990519207,109.37696760465583,107.99854450677397,104.399043715564,106.63136314134356,101.16468270759405
S6,130.94714770627297,130.4902993927265,133.7061273673786,131.68225227110648,129.93156529283425,129.51300099163723,126.66797788555586,121.94575468483788,124.69181237127576,112.20991506408603
S7,133.6269716810063,132.88682246245062,133.84050243789622,133.6799663337102,133.6705032215131,131.08819655174744,129.75652145561597,122.35935924588601,128.8779986290127,120.17982939416542
S8,139.1549866776208,139.1492757971092,139.8342213508209,139.17820319019464,137.58473391081944,135.58309625177623,135.46624076998896,131.15505763087464,132.10536675222866,127.17287104114826
S9,113.0032026824879,112.23754275680618,114.97864212528988,113.45988700325185,113.09529951089478,111.25550181842065,107.69760610245497,105.40731011449897,105.16296448528368,95.74346175044046
