BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,-133.4743209902168,-138.79443558705677,-119.4338864636182,-101.94071317354,-92.43873397873773,-109.24022874719854,-99.78588742326535,-139.74704502785096,-115.89339182945953,-235.9329351984575
S1,30.24648849849635,25.841600207467565,-65.83054520977453,-45.55882908709577,-18.904728840666145,-11.437460373271948,-3.860224878873283,-52.21014309302576,9.437777411112998,-153.57920795234517
S2,-145.82287300681605,-124.76449781711248,-153.15783063959708,-121.09886406025757,-68.40542655043319,-73.99091854568347,-38.62488974302232,-63.23809244500134,-69.97048554303959,-182.63594322853612
S3,-38.16623032221381,-1.3809675158625032,-92.97945902185445,-48.138779926355056,-24.709327461342284,22.890501768400682,15.341508346680511,-80.09598294806449,-4.188780609885784,-116.7126537635193
S4,-71.33906202157813,-47.648860868414545,-107.65139468663598,-87.06147694599265,-61.87516766755676,2.7040803618045577,-7.554420845175169,-40.94711380800184,-3.9967608575964477,-158.519967327643
S5,55.00524802114161,66.94135519191931,57.440373060615045,53.08024663508624,80.96844510863696,51.33746312058073,38.63034211386269,-8.101727990406477,-16.906962204936455,-138.41264010990156
S6,-34.638335021917605,-10.517394548343495,-41.60853076645882,6.465268299947973,13.171821988489887,22.567331205256153,47.10537392265136,34.42360766760959,8.58880364004182,-126.16657831222864
S7,189.58928099054515,211.02668163511228,172.96751982936374,189.81996156063082,200.10035039054497,189.5925954842354,162.26436417624635,68.60441920064076,148.945887608793,2.497461953679602
S8,45.93727902031031,78.67982462229915,63.40835971919322,71.1775628684321,82.35791666247104,135.69333567596635,112.74880174993478,93.08870914901618,42.14997716425505,-93.08327832863543
S9,-63.54203966880634,-14.839787026737678,-152.10739731578064,-49.12744324169177,-2.670657226392403,88.35082289999245,138.62602809759974,126.41157812486504,154.01402148289145,-7.947261915776112
