BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,92.04546460330262,89.14743245128346,97.41605462130647,93.7652180393957,91.7661511825448,84.11054714108175,74.57886352939367,63.72205340709572,67.12396105867957,43.90057170226037
S1,96.27694124427505,92.02661921443699,101.0599352321692,95.75353151061621,88.78029620888148,81.44830862242998,74.17609492513108,66.26194455040411,66.66732525753487,38.445788169207134
S2,99.0171710104149,95.16154873478263,101.30814420341272,97.50280679206502,92.92253200290237,85.94428397952352,75.16146809708033,66.09069348971187,69.97073124971806,43.42265291978671
S3,95.43119948357008,93.66451789284467,99.39690724467265,99.75753319770668,96.21356103437105,86.94045183570013,75.04050439446388,67.3849632626986,66.6784803406731,40.553629307748785
S4,89.21402554496291,86.46498856104492,94.83972473884437,92.39587831946763,87.39460286926459,76.77947301897119,70.82380371886462,67.15539902611405,65.47481069528605,36.95903507097664
S5,95.97832441935071,92.67003781812754,98.10735647054163,95.1603233202133,91.50843933901311,79.6550963959462,71.5534727733532,64.71442117305962,63.22960614720009,37.12861965066444
S6,92.51378054922853,88.65014254630124,97.35533297996152,95.8234994552312,90.82043178691588,80.448821787568,67.90147365085807,65.45615461453774,59.60965642361931,31.133451552827374
S7,94.51297929239202,91.45638326536903,99.11909624678822,94.96154244175925,90.90903034531767,78.84654707629859,73.84319694167465,55.756047258027806,66.75467028552431,40.16973864240211
S8,100.70698886025053,98.31705735732656,107.01901346711968,102.53124098085723,97.07890239214007,88.89116631027227,77.07938806665697,76.53771458189843,64.21732897022949,36.26767900542008
S9,85.2781396308428,79.86075630123044,87.17715231283839,84.90185769699423,77.36523104989098,69.21904620974757,59.78275020677299,61.22211644070926,51.08747547007895,22.539530418893403
