BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,566.0149775611767,538.3901712814729,573.8121369121159,575.3791593888247,572.9655848425871,534.0762303066011,513.909988661843,492.5083642537599,487.4814796041795,367.4270597841506
S1,680.1054496660981,651.5835627681032,700.9824850661687,698.6501707736882,695.3435821743676,658.9813643307181,635.4650554055231,606.2411355426977,595.6816920412058,421.35627660385774
S2,666.4126512926305,641.0252228528855,680.8933418110333,670.1991040498137,664.11113945266,632.8288336175145,597.346509605824,573.1468161016178,553.9049917917655,420.82645535006
S3,563.4079958771096,552.8573330027317,600.2267964870673,584.0690042368982,568.4829975724584,551.3472793076528,508.7871627712839,487.91562409485806,484.7786108631045,358.8479658384621
S4,630.3709705560229,617.1434141177953,651.0031945823331,641.0477590751478,637.1271220795392,615.465400922969,569.8851592605416,554.8848165587109,539.9447648515439,414.847227620688
S5,579.093498311477,572.0452904503258,600.4897449178295,582.729800483884,578.5177201194747,538.215312638899,514.9117074758697,499.8626117534006,495.859786436925,347.9772406360288
S6,710.7025380133382,680.8770149862829,704.5022015571225,696.8502164726361,705.7179990782737,673.1259054793736,633.6002238797802,603.143517816591,589.4470507207806,391.0879655937978
S7,653.9511160374586,636.1515972650169,657.5472735300436,650.7667749766418,644.6376677460557,621.4960111994681,596.3814934104756,552.9228989638527,570.7399572282015,415.8318508302262
S8,674.5746834133844,661.5360740606809,701.45001270893,690.5291731030418,679.5276923526799,652.927262817844,621.3889793860458,608.9383670516818,603.0014285772168,418.07297841823583
S9,530.9549812346605,509.7227214679475,548.8820357271894,532.7558121050067,508.76572671832054,489.57629370807507,469.4394669739384,453.75781949729065,430.3204745923623,277.9917238085051
