BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,-811.6756908471369,-655.6825657154992,-915.0221566841155,-825.6265526983494,-722.2595586237418,-859.1721675188255,-1087.1787566449416,-1173.8230338787807,-924.6995371694263,-828.4695250396222
S1,24.584448979829233,166.72772468359966,185.40451119165937,305.27306588330873,421.8640207299114,124.86973078310888,243.40306250334928,-34.13478725893269,167.17381595217734,263.2396776069903
S2,-663.353827311957,-656.4340938435288,-759.6555920891506,-793.2340350074361,-752.0311020388209,-815.3294133707126,-579.0916991832136,-604.7372518796092,-396.80519587850347,-200.65658842827793
S3,-300.9828506626621,-295.58791965087374,-664.5974097889073,-479.0884980533221,-254.08778038039213,-46.46082189090783,-231.06319255838326,-454.3690682821567,-450.36904767667164,-209.67075056254043
S4,120.96445562816618,15.226884692833758,-4.2022225198473535,-139.2759777116546,44.36926732730617,146.43421052701004,390.903283004916,393.9200610179315,425.6354425590292,473.9100086756584
S5,1012.9479527331353,1009.2813410406277,1049.3991508553913,1047.4581772973634,1045.9680883197548,993.0065710518392,942.1303188396937,766.3901036907097,971.3577700524829,578.8686604654156
S6,-518.652099090306,-302.9780769963459,-391.99439977676155,-353.78862001578636,-293.7859268827259,-33.95950934759446,14.804242398849107,-38.16008623889787,-29.25109145322582,95.43834881388285
S7,1265.1936909927076,1181.9116133212099,1447.8234259215951,1384.856014182868,1262.4410524516743,1161.43239701611,1026.1844664106486,839.2977900262654,1042.6585741680058,710.9066083766512
S8,451.2404356576523,458.1579951781649,567.315734210328,530.8156631038622,477.920893973249,640.4149015815784,624.2140322890147,502.6844190656045,694.5918253560858,489.0978296697285
S9,-622.7527495793905,-559.304267176769,-782.9092312053482,-722.0365064740997,-576.3499371519284,-656.5250761499744,-302.4962527737375,-380.15098802962325,-188.01952983688642,-189.0566254998476
