BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,625.2046014113332,612.0155710290153,639.4451767559999,632.5306606696212,622.0872005004901,612.4372655678956,585.2593502620662,566.0324406040758,546.4203752564524,427.9609641196227
S1,697.9422043942495,685.0312532566998,720.6757799422371,714.1696193979268,699.4582555118725,665.1487588856604,636.4357422168104,627.4411502746906,587.0738744864016,453.6218403143155
S2,689.9375470124787,677.3167989466907,699.8043420838235,692.3463346538983,692.9827026945618,678.895813233753,615.9450992530644,585.2865558061961,580.2161724590013,427.93483639335705
S3,629.3908393855669,612.5009409496765,669.234349775135,652.5207754508093,643.5380417747962,607.5029711061359,568.3309206046254,549.8944509013654,532.2035583486496,398.8932090369267
S4,758.6795715575577,736.4779060042355,753.7271997080004,758.2528688563725,747.6796081966545,721.9331198940494,663.3853673845296,632.3966330156059,622.0873254957851,460.7317925379018
S5,626.6445424285934,624.1991747087445,658.6080180295555,644.1365356017137,630.9545753872161,621.8165469844714,592.8370136438672,557.8692279124109,546.7193739080083,380.9647478922867
S6,701.1735123223166,675.122476483572,723.9360929215532,706.5264657572393,693.5776476792305,664.7978751101585,606.1353698399801,594.2006232422142,568.3186484376255,393.1237695405521
S7,718.3979300714401,708.2977502825242,730.9309411019346,718.5486388243315,702.1537811628879,696.8058055476866,650.9978589883691,595.3005870976597,612.4522640571602,452.80276864610676
S8,701.5144943984982,680.8187058048766,717.8235447342392,699.9726879178016,693.7284050709399,682.4719128727531,643.5078071589093,634.8496277696995,609.1078799736165,458.73149597816376
S9,580.049477736154,550.487876064543,616.4335544633187,601.0965504974404,596.9654163510503,561.8296429097375,524.6417911419163,516.8503529008511,478.4429406399594,328.0228517739971
