BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,331.5867930242799,246.38960413002607,163.35464232352828,265.13460539868186,325.14576132777603,381.60073931572134,273.0028360687143,101.01737301674942,35.14719206285884,-433.25299880626056
S1,225.17084289633576,305.57987449440964,-7.433757070562395,123.92273443882019,60.70718178435255,170.68046906015192,370.15172689099074,88.54102636203729,441.07440383076795,133.98839904335216
S2,-1221.1935085115588,-1078.8126463432166,-1471.0556545373322,-1311.0755717005995,-1079.7226393450028,-845.5505353114943,-603.0894710561554,-754.852055107455,-343.54444989934893,-182.10926128787207
S3,-621.1162927660159,-472.91829779093257,-707.9403290186128,-521.8434401031225,-445.6883330189245,-452.4378053740613,-240.170693355004,-416.94171450781437,-376.5118118823109,-17.46455897737993
S4,-10.21526968012401,-135.69801996651222,-195.92311787584944,-245.42381987483142,-76.6606700350573,-111.13743389370033,81.7763590535273,-1.5273650930611766,69.18778913520096,290.89585245463763
S5,986.083855046605,823.1665901915424,847.6857731586045,977.0445876538411,1028.5306157131308,981.6438590593674,965.5478349216851,829.4003861181114,878.1696157631656,392.10488462923445
S6,-126.93533660140564,-120.92005776233226,-222.35273335053375,-182.65894620513683,-156.04660043330026,-47.932353207330216,-90.16270068885711,-286.43482394946614,-63.80154334748752,25.784801529522053
S7,1397.2779020025116,1324.8458069810968,1594.119553522997,1558.851447445454,1545.7767400838486,1462.8578467319383,1406.4935503074498,1205.2847285339585,1248.0853431038404,748.2707801299537
S8,806.8705249073809,683.5504470701038,1089.2087054461376,984.9505020716689,792.154483650201,808.3632191420284,734.3522002999089,477.08157047167816,725.6481718847917,836.4019549255353
S9,-97.09538113807002,42.872016709272344,-155.04182797679638,-168.68803659970877,-184.52163726099792,-150.90198350074868,-102.27228254387825,-342.01060257132957,-196.7353556331784,293.35752840833635
