BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,604.5544921771962,577.0384220063628,615.0101784214241,614.8720819007634,611.9620944619828,574.5337791703165,553.205382052731,531.019402335103,526.0307262346442,393.7775521882074
S1,727.5668001511822,698.285763254959,748.0407966662755,745.5985464068023,743.6042850848695,705.750744510851,680.1185279805337,649.5457588916702,636.9715057038994,451.13848168428717
S2,702.9667798839781,676.3541844733525,718.6175103902432,706.727296678454,699.8878662684878,665.8820901570101,633.9779615687381,610.8146572740129,586.8935268132076,448.4799350032935
S3,602.7862756409605,590.9002844644721,641.7705228831948,624.7710590463885,608.3933128426601,589.518931374739,543.7848458588713,521.0583080654737,518.309943220666,383.8165793804845
S4,678.0480244638783,664.2887253944277,699.5708406900114,689.4403514843284,685.1735129244353,660.606718964173,612.6760520677158,594.1143623654596,580.0160685520176,446.33999209690853
S5,613.6649705987857,606.4832471275585,638.0258653413184,619.3350174419822,613.6269893224967,570.8023741458147,545.4188655421747,529.5963468839491,526.6483504726443,364.91619049876357
S6,756.2082035361022,723.6227583957307,744.7943391669435,736.6922089045553,746.2448536455988,711.3078721075495,675.6424402345057,639.9442648178706,633.6938349079641,419.52474851116716
S7,696.7170821738155,677.4489505766736,699.2659492875416,692.01978097602,685.4703359471357,661.8009798108534,634.5914189610492,587.4569430382023,606.694052882027,442.0925404701524
S8,708.8884146489605,687.91172913757,735.6520726605753,724.8264047476544,716.9008372031353,689.420123401638,653.4613366214763,639.6668574529406,632.8627945637895,436.73952374148723
S9,563.5560794927759,534.9453573078058,579.2890682891832,570.3568309354552,543.3182517755521,521.5849959031846,497.902717496136,481.505651528054,458.1028058005505,295.68916220109526
