BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,699.394077755015,564.979859144046,547.5331080838814,618.9144765815537,673.6510062821366,688.6278207389959,581.6856289545243,432.2915685725928,361.05362700272974,-14.757155167213524
S1,629.4058420617558,683.1513402911897,440.4754916192947,566.7602744798473,467.30448127696303,599.0143695650336,771.6958107630459,522.9383096814125,848.6890712072011,542.7832457825004
S2,-784.2689764130267,-677.0148344712849,-1011.005872451758,-857.2870257040021,-664.2396790604085,-463.1135967055904,-227.06041068125384,-363.64791740563953,-23.3988691692336,174.76410391011572
S3,-176.49132818542216,-64.05555704404122,-228.69144073051058,-61.939698433827495,-7.55021386096155,-23.39169977429,168.43225656506777,-19.142282799354813,46.02606099469567,389.0081405286079
S4,372.732617411848,254.00717043104638,175.9013574771395,129.0258989029288,287.2825712997487,303.0661130657617,492.91922174752693,414.73571709367695,509.9766054431488,750.3097381601092
S5,1279.6895497878184,1123.2191121102403,1105.7808224420103,1199.0616433324317,1277.0332808037483,1233.5684156889135,1236.5218339592923,1104.0572992527327,1136.5560024654167,735.0851601359112
S6,385.74909638031585,323.3076683071286,315.2901566717597,353.9775984401187,378.82162404407086,458.0686348349998,396.29086676929916,171.45646354670416,450.7251286694705,498.25663117170603
S7,1730.1517846983274,1650.0357267654827,1867.572622435937,1833.3889565976308,1822.273515000639,1807.5625971261877,1739.7099803404362,1556.5430971284864,1583.1433274038668,1105.490645007008
S8,1022.1047629004355,858.7512255774056,1221.6576965206343,1140.6309711792542,1015.6393223352115,1063.2940574715003,991.5504382900034,752.860892353652,951.3459993429493,1055.3052101701196
S9,58.88979189817433,163.3999386771329,-71.2776100839118,-7.0332493366208215,-49.18342974527023,-29.98721602430445,52.28669667043956,-169.56767322477666,39.544772427498216,486.19953770818205
