bg_strategy,best_deviator,rel_diag,rel_best,gap,pooled_se,t_stat,is_ne_candidate
S0,S0,272.5604512524833,272.5604512524833,0.0,854.0318337637535,0.0,True
S1,S8,273.35660954047364,448.86954603900057,175.51293649852693,942.3879325992784,0.18624276736484743,False
S2,S9,-1532.9671785620087,-261.6476468199868,1271.3195317420218,853.7818648343645,1.489044900231818,False
S3,S9,-519.6047820399639,-28.335772766965906,491.26900927299795,731.477472363418,0.6716119468255095,False
S4,S9,-158.89388114258801,344.8494410518641,503.74332219445216,809.8774528954989,0.6219994400306533,False
S5,S0,879.6820999157857,929.7351198149344,50.053019899148694,842.5803787579895,0.059404445155641576,False
S6,S9,-12.289659971880843,105.7650740396225,118.05473401150334,794.1415990507284,0.14865703314449116,False
S7,S2,1239.1985325926757,1564.8065022143785,325.60796962170275,916.7533566414261,0.35517510490998866,False
S8,S2,561.4555692022336,848.9598210483283,287.5042518460947,986.5410357182571,0.29142655139203155,False
S9,S9,265.7456928627138,265.7456928627138,0.0,418.8265470126506,0.0,True
