BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,272.5604512524833,128.06907165791705,108.71719510869269,183.92520829053856,241.84692840821378,258.65722350382475,144.8774104884916,-15.040597130702837,-90.52731123278654,-482.66522510730096
S1,216.61198228493606,273.35660954047364,14.115314470932528,149.36275011658645,42.84989133834018,182.08025717541622,366.6018654875327,102.09444772628247,448.86954603900057,131.93485231937044
S2,-1290.4278346020449,-1176.4846315720472,-1532.9671785620087,-1369.9778919876935,-1162.953358042669,-949.5927320635236,-697.4319841530183,-844.7769331136922,-478.59909810533304,-261.6476468199868
S3,-641.2656640479157,-521.0128855311176,-695.9127104757752,-519.6047820399639,-461.9014193419853,-477.8872215701378,-271.60052105647065,-470.2661438549925,-400.95767356615573,-28.335772766965906
S4,-67.3367589886339,-193.82639025166566,-277.3782613192706,-327.7960035091202,-158.89388114258801,-141.65053817014115,60.74424704722385,-21.630303592720768,79.67358014504515,344.8494410518641
S5,929.7351198149344,763.659428918067,743.1197249322263,842.3795343656635,926.3815950878279,879.6820999157857,884.55635943721,744.7770179180575,778.418363000384,360.1050859742388
S6,-25.555426052876747,-91.84676927866455,-100.38989044479793,-58.98572929138271,-32.002917481120384,53.11560717928328,-12.289659971880843,-252.1042181570815,45.692369893455705,105.7650740396225
S7,1419.0993664398475,1334.28390478049,1564.8065022143785,1530.0513953610778,1518.1395321907094,1503.1014857015875,1430.357973287473,1239.1985325926757,1265.7066423744666,767.7218162187314
S8,636.0617898303383,462.41031463912026,848.9598210483283,762.4374769629304,629.7730816703347,680.3073016983012,604.3442450293566,350.28445390610943,561.4555692022336,685.254020393896
S9,-221.7920588910629,-105.65031490214632,-366.8060196780846,-293.1058425791097,-335.52309080152685,-309.51402962418615,-219.6730821556896,-455.54952283636834,-229.40041227268858,265.7456928627138
