BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,603.8917010035324,574.3926767050258,612.2952268078027,613.9498031297459,611.3673430728211,569.7703208305702,548.3708488500521,525.6371228998906,520.3612333439793,392.6697204438254
S1,726.0030377849416,695.6157190773501,748.0777576506354,745.6575500459597,742.0717469582557,703.3547825757755,678.2923239518442,647.0792953445789,635.7780956286896,450.04820190937926
S2,710.8326271211748,683.8124210040579,726.2069653952315,714.8009434796195,708.3736088553246,674.9721628894878,637.229798661431,611.4319833686015,590.7569885291696,448.9620430854862
S3,601.3780998750052,590.1336124907408,640.5220715421283,623.4249121506808,606.8786704371182,588.269581319377,542.9958043572558,520.4900769250612,517.2215835786868,382.6234068703727
S4,671.5597045451213,657.6352730300081,693.664110681327,683.0773944883857,678.8577227221778,655.644117753932,607.0808067589237,591.0736118403115,575.0392722324688,441.6488209074716
S5,617.2192470639519,609.6578241356407,640.1793630481881,621.1157440694345,616.5290519640524,573.5696084362954,548.7743481202637,532.7113256563397,528.3786315414344,370.5249322691106
S6,758.2575204940725,726.4545362957425,751.5381294422785,743.4501896396995,752.8733616330387,718.1179773965417,675.8865375138133,643.406035474499,628.698247915109,416.93916552710226
S7,697.9549601949511,678.9591002635134,701.7249126324505,694.4973984242127,687.9651279014859,663.2675045531023,636.4570894807061,589.9312365897414,609.1108021952034,443.7497192503023
S8,719.53432782207,705.6419829594081,748.1682868623682,736.6081274711213,724.7195188217837,696.1775535631288,662.6228942669942,649.3252586400457,643.0454336121832,445.46123057246166
S9,565.976040433525,543.2750210812352,585.1150647191098,567.8768397837882,542.2543937308778,521.805219451373,500.34367044210853,483.8000349310953,458.4555515757756,296.1550915335916
