BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
S0,-860.7139104308693,-705.2361987816203,-958.5360144708792,-863.5200881169759,-760.9380930709063,-901.5304467072109,-1121.8575717237004,-1200.0228096570897,-958.0113260091921,-865.8111121637628
S1,-0.6985945614594384,135.79979922891215,151.06881530814886,275.8070144944611,394.5125560121871,102.50114420519536,206.4713133336352,-65.46585113717816,129.54192580987845,232.57670878153084
S2,-469.5397512297821,-449.4485637326234,-547.5764906351776,-577.0034080324749,-537.2863454046446,-604.749686084511,-370.7556216667964,-391.4930570706195,-188.8877711304354,16.908796206973754
S3,-332.230483203312,-321.03741002335494,-684.9414582787047,-494.87493147954484,-267.3203908235731,-77.50501678645536,-264.10182360209023,-480.9280265911413,-477.50200530977406,-230.54033649583965
S4,108.92665054937883,5.946726925829775,-29.151354070384667,-158.1646371031982,26.930478549759865,138.4965783509884,383.0433575605967,386.06363653223514,421.42176807438034,457.49907129700665
S5,872.4700322928805,873.2858636060568,902.8183883511995,903.7700798934877,904.3336317643192,853.0015423603924,816.2864904946174,639.0648428257954,836.4027335049282,465.00645368587016
S6,-635.6325149016861,-428.26307359420133,-518.3126183496993,-486.7535262354171,-425.34719814795653,-168.21974850855545,-118.31240557199786,-169.9631274553763,-165.0196275065375,-30.064552091307938
S7,1297.1883900869,1200.9665113750334,1475.8083656935592,1408.5091189615036,1286.4420246771447,1186.3423613561788,1043.9517610882845,845.5501695997557,1063.8717318345816,731.8051314414132
S8,300.83237370281853,320.872410574657,413.67502985457935,387.2265323287589,342.34755457116137,479.7435168018608,484.1518348102303,362.2086493141034,546.1288884722386,335.3946255194417
S9,-593.4707741557127,-536.549114439918,-754.0607346114582,-686.8492196738259,-525.991242328694,-616.8419743384677,-268.8147774555619,-351.3496882140329,-167.6034893257036,-175.52852451384868
